t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,30,0,1,0,0,0,0,0,0,0,0,0,0
7,2,30,0,1,-0.36882,30.662,-0.18066,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
8,1,30,0,2,0,0,0,0,0,0,0,0,0,0
9,1,30,0,2,0,0,0,0,0,0,0,0,0,0
10,1,30,0,2,0,0,0,0,0,0,0,0,0,0
16,2,30,0,2,-0.35603,30.87,1.0383,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
17,1,30,0,1,0,0,0,0,0,0,0,0,0,0
18,1,30,0,1,0,0,0,0,0,0,0,0,0,0
