t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,30,0,1,0,0,0,0,0,0,0,0,0,0
2,1,30,0,1,0,0,0,0,0,0,0,0,0,0
8,2,31,0,1,-0.39685,31.882,-0.36388,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
14,2,31,0,2,-0.36374,30.598,1.166,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
15,1,31,0,1,0,0,0,0,0,0,0,0,0,0
16,1,31,0,1,0,0,0,0,0,0,0,0,0,0
17,1,31,0,1,0,0,0,0,0,0,0,0,0,0
18,1,31,0,1,0,0,0,0,0,0,0,0,0,0
