lane,type,d,v,delta_crash,P_lC,P_nlC
1,1,8,33,0.24,0.7,0.3
1,1,8,34,0.24,0.71,0.29
1,1,9,15,0.6,0.41,0.59
1,1,9,16,0.56,0.44,0.56
1,1,9,17,0.53,0.46,0.54
1,1,9,18,0.5,0.48,0.52
1,1,9,19,0.47,0.5,0.5
1,1,9,20,0.45,0.52,0.48
1,1,9,21,0.43,0.53,0.47
1,1,9,22,0.41,0.55,0.45
1,1,9,23,0.39,0.56,0.44
1,1,9,24,0.38,0.57,0.43
1,1,9,25,0.36,0.59,0.41
1,1,9,26,0.35,0.6,0.4
1,1,9,27,0.33,0.61,0.39
1,1,9,28,0.32,0.62,0.38
1,1,9,29,0.31,0.63,0.37
1,1,9,30,0.3,0.64,0.36
1,1,9,31,0.29,0.65,0.35
1,1,9,32,0.28,0.66,0.34
1,1,9,33,0.27,0.67,0.33
1,1,9,34,0.26,0.67,0.33
1,1,10,15,0.67,0.38,0.62
1,1,10,16,0.63,0.4,0.6
1,1,10,17,0.59,0.42,0.58
1,1,10,18,0.56,0.44,0.56
1,1,10,19,0.53,0.46,0.54
1,1,10,20,0.5,0.48,0.52
1,1,10,21,0.48,0.49,0.51
1,1,10,22,0.45,0.51,0.49
1,1,10,23,0.43,0.53,0.47
1,1,10,24,0.42,0.54,0.46
1,1,10,25,0.4,0.55,0.45
1,1,10,26,0.38,0.57,0.43
1,1,10,27,0.37,0.58,0.42
1,1,10,28,0.36,0.59,0.41
1,1,10,29,0.34,0.6,0.4
1,1,10,30,0.33,0.61,0.39
1,1,10,31,0.32,0.62,0.38
1,1,10,32,0.31,0.63,0.37
1,1,10,33,0.3,0.64,0.36
1,1,10,34,0.29,0.65,0.35
1,1,11,15,0.73,0.34,0.66
1,1,11,16,0.69,0.36,0.64
1,1,11,17,0.65,0.38,0.62
1,1,11,18,0.61,0.41,0.59
1,1,11,19,0.58,0.42,0.58
1,1,11,20,0.55,0.44,0.56
1,1,11,21,0.52,0.46,0.54
1,1,11,22,0.5,0.48,0.52
1,1,11,23,0.48,0.49,0.51
1,1,11,24,0.46,0.51,0.49
1,1,11,25,0.44,0.52,0.48
1,1,11,26,0.42,0.53,0.47
1,1,11,27,0.41,0.55,0.45
1,1,11,28,0.39,0.56,0.44
1,1,11,29,0.38,0.57,0.43
