t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,20,0,1,0,0,0,0,0,0,0,0,0,0
2,1,20,0,1,0,0,0,0,0,0,0,0,0,0
3,1,23,0,1,0,0,0,0,0,0,0,0,0,0
9,2,27,0,1,0.028474,27.517,-1.0102,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
10,1,27,0,2,0,0,0,0,0,0,0,0,0,0
16,2,28,0,2,-0.1287,28.761,1.2118,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
17,1,28,0,1,0,0,0,0,0,0,0,0,0,0
18,1,28,0,1,0,0,0,0,0,0,0,0,0,0
19,1,28,0,1,0,0,0,0,0,0,0,0,0,0
