d,v,delta_crash,a
70,17,4.12,3
70,18,3.89,3
70,19,3.68,3
70,20,3.5,3
70,21,3.33,3
70,22,3.18,3
70,23,3.04,3
70,24,2.92,3
70,25,2.8,3
70,26,2.69,3
70,27,2.59,3
70,28,2.5,2
70,29,2.41,2
70,30,2.33,2
70,31,2.26,2
70,32,2.19,2
70,33,2.12,2
70,34,2.06,2
71,15,4.73,3
71,16,4.44,3
71,17,4.18,3
71,18,3.94,3
71,19,3.74,3
71,20,3.55,3
71,21,3.38,3
71,22,3.23,3
71,23,3.09,3
71,24,2.96,3
71,25,2.84,3
71,26,2.73,3
71,27,2.63,3
71,28,2.54,3
71,29,2.45,2
71,30,2.37,2
71,31,2.29,2
71,32,2.22,2
71,33,2.15,2
71,34,2.09,2
72,15,4.8,3
72,16,4.5,3
72,17,4.24,3
72,18,4,3
72,19,3.79,3
72,20,3.6,3
72,21,3.43,3
72,22,3.27,3
72,23,3.13,3
72,24,3,3
72,25,2.88,3
72,26,2.77,3
72,27,2.67,3
72,28,2.57,3
72,29,2.48,2
72,30,2.4,2
72,31,2.32,2
72,32,2.25,2
72,33,2.18,2
72,34,2.12,2
73,15,4.87,3
73,16,4.56,3
73,17,4.29,3
73,18,4.06,3
73,19,3.84,3
73,20,3.65,3
73,21,3.48,3
73,22,3.32,3
73,23,3.17,3
73,24,3.04,3
73,25,2.92,3
73,26,2.81,3
73,27,2.7,3
73,28,2.61,3
73,29,2.52,3
73,30,2.43,2
73,31,2.35,2
73,32,2.28,2
73,33,2.21,2
73,34,2.15,2
74,15,4.93,3
74,16,4.63,3
74,17,4.35,3
74,18,4.11,3
74,19,3.89,3
74,20,3.7,3
74,21,3.52,3
74,22,3.36,3
74,23,3.22,3
74,24,3.08,3
74,25,2.96,3
74,26,2.85,3
74,27,2.74,3
74,28,2.64,3
74,29,2.55,3
74,30,2.47,2
74,31,2.39,2
74,32,2.31,2
74,33,2.24,2
74,34,2.18,2
75,15,5,3
75,16,4.69,3
75,17,4.41,3
75,18,4.17,3
75,19,3.95,3
75,20,3.75,3
75,21,3.57,3
75,22,3.41,3
75,23,3.26,3
75,24,3.13,3
75,25,3,3
75,26,2.88,3
75,27,2.78,3
75,28,2.68,3
75,29,2.59,3
75,30,2.5,2
75,31,2.42,2
75,32,2.34,2
75,33,2.27,2
75,34,2.21,2
76,15,5.07,3
76,16,4.75,3
76,17,4.47,3
76,18,4.22,3
76,19,4,3
76,20,3.8,3
76,21,3.62,3
76,22,3.45,3
76,23,3.3,3
76,24,3.17,3
76,25,3.04,3
76,26,2.92,3
76,27,2.81,3
76,28,2.71,3
76,29,2.62,3
76,30,2.53,3
76,31,2.45,2
76,32,2.38,2
76,33,2.3,2
76,34,2.24,2
77,15,5.13,3
77,16,4.81,3
77,17,4.53,3
77,18,4.28,3
77,19,4.05,3
77,20,3.85,3
77,21,3.67,3
77,22,3.5,3
77,23,3.35,3
77,24,3.21,3
77,25,3.08,3
77,26,2.96,3
77,27,2.85,3
77,28,2.75,3
77,29,2.66,3
77,30,2.57,3
77,31,2.48,2
77,32,2.41,2
77,33,2.33,2
77,34,2.26,2
78,15,5.2,3
78,16,4.88,3
78,17,4.59,3
78,18,4.33,3
78,19,4.11,3
78,20,3.9,3
78,21,3.71,3
78,22,3.55,3
78,23,3.39,3
78,24,3.25,3
78,25,3.12,3
78,26,3,3
78,27,2.89,3
78,28,2.79,3
78,29,2.69,3
78,30,2.6,3
78,31,2.52,3
78,32,2.44,2
78,33,2.36,2
78,34,2.29,2
79,15,5.27,3
79,16,4.94,3
79,17,4.65,3
79,18,4.39,3
79,19,4.16,3
79,20,3.95,3
79,21,3.76,3
79,22,3.59,3
79,23,3.43,3
79,24,3.29,3
79,25,3.16,3
79,26,3.04,3
79,27,2.93,3
79,28,2.82,3
79,29,2.72,3
79,30,2.63,3
79,31,2.55,3
79,32,2.47,2
79,33,2.39,2
79,34,2.32,2
80,15,5.33,3
80,16,5,3
80,17,4.71,3
80,18,4.44,3
80,19,4.21,3
80,20,4,3
80,21,3.81,3
80,22,3.64,3
80,23,3.48,3
80,24,3.33,3
80,25,3.2,3
80,26,3.08,3
80,27,2.96,3
80,28,2.86,3
80,29,2.76,3
80,30,2.67,3
80,31,2.58,3
80,32,2.5,2
80,33,2.42,2
80,34,2.35,2
