type_driver,property,probability
1,P=? [F crashed],0.2378321147
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],2.320868047e-07
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],2.154010136e-06
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.5309704155
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.5507669696
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.861018388
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.9694243359
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.9951831888
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.07369554309
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],3.760775908e-06
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.000775345885
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.2862869251
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.3503675681
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.5260310121
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.738812415
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.9038126325
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.02513192599
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],2.140578307e-05
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.01513759829
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.5226771566
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.5557621118
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.6227117721
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.7270580333
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.8631802761
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
