type_driver,property,probability
1,P=? [F crashed],0.2154884047
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],1.772096114e-05
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.2308801357
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.4956178667
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.5530052152
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.5621658703
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.8094471318
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.9549862409
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.06498928411
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.001168870864
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.03800172932
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.3840024768
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.4609633104
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.5012489625
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.6252807783
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.8152532674
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.01770734286
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.008053335029
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.02456819354
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.7331937435
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.7552668135
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.77982557
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.8234696793
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.892606305
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
