t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,30,0,1,0,0,0,0,0,0,0,0,0,0
2,1,30,0,1,0,0,0,0,0,0,0,0,0,0
6,2,30,0,1,-0.52219,31.563,-0.18782,-0.014481,0.17965,-0.81529,1.5424,-0.90426,0.87485,1.8519
7,1,30,0,2,0,0,0,0,0,0,0,0,0,0
8,1,30,0,2,0,0,0,0,0,0,0,0,0,0
12,2,30,0,2,-0.55588,31.324,0.5517,0.014481,-0.17965,0.81529,-1.5424,0.90426,-0.87485,5.5481
13,1,30,0,1,0,0,0,0,0,0,0,0,0,0
14,1,30,0,1,0,0,0,0,0,0,0,0,0,0
