t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,24,0,1,0,0,0,0,0,0,0,0,0,0
2,1,24,0,1,0,0,0,0,0,0,0,0,0,0
8,2,27,0,1,0.14139,26.194,-1.2924,0.00043017,-0.010197,0.09934,-0.49737,1.1759,-0.12264,1.8529
12,2,27,0,2,-0.45004,29.298,0.84789,0.014481,-0.17965,0.81529,-1.5424,0.90426,-0.87485,5.5481
13,1,27,0,1,0,0,0,0,0,0,0,0,0,0
14,1,27,0,1,0,0,0,0,0,0,0,0,0,0
15,1,30,0,1,0,0,0,0,0,0,0,0,0,0
16,1,32,0,1,0,0,0,0,0,0,0,0,0,0
