t_end,type,v,crashed,lane,x_t_1,x_t_2,x_t_3,y_t_1,y_t_2,y_t_3,y_t_4,y_t_5,y_t_6,y_t_7
1,1,30,0,1,0,0,0,0,0,0,0,0,0,0
2,1,30,0,1,0,0,0,0,0,0,0,0,0,0
6,2,30,0,1,-0.52219,31.563,-0.18782,-0.014481,0.17965,-0.81529,1.5424,-0.90426,0.87485,1.8519
7,1,30,0,2,0,0,0,0,0,0,0,0,0,0
13,2,30,0,2,-0.28794,30.136,1.0501,-0.00043017,0.010197,-0.09934,0.49737,-1.1759,0.12264,5.5471
14,1,30,0,1,0,0,0,0,0,0,0,0,0,0
