type_driver,property,probability
1,P=? [F crashed],0.002118910272
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.5156940893
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.7068873513
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.8004807962
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.9024733111
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.9416222176
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.99
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.99
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
2,P=? [F crashed],0.0086644339
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.2532680676
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.5007452302
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.6388385377
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.8607598476
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.8681428322
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.95
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.95
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
3,P=? [F crashed],0.01729630961
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],0.0
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],0.08511094423
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],0.2481664937
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],0.3787845113
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],0.7039693826
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],0.7044298557
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],0.87
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],0.87
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],1.0
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],1.0
