type_driver,property,probability
1,P=? [F crashed],0.06344384527
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16))],0.0
1,P=? [F ((x = 500) & (t < 17))],0.0
1,P=? [F ((x = 500) & (t < 18))],0.0
1,P=? [F ((x = 500) & (t < 19))],0.3357590931
1,P=? [F ((x = 500) & (t < 20))],0.8357135854
1,P=? [F ((x = 500) & (t < 21))],0.8842175913
1,P=? [F ((x = 500) & (t < 22))],0.9273861565
1,P=? [F ((x = 500) & (t < 23))],0.9658061795
1,P=? [F ((x = 500) & (t < 24))],1.0
1,P=? [F ((x = 500) & (t < 25))],1.0
1,P=? [F ((x = 500) & (t < 26))],1.0
1,P=? [F ((x = 500) & (t < 27))],1.0
1,P=? [F ((x = 500) & (t < 28))],1.0
2,P=? [F crashed],0.0800496447
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16))],0.0
2,P=? [F ((x = 500) & (t < 17))],0.0
2,P=? [F ((x = 500) & (t < 18))],0.0
2,P=? [F ((x = 500) & (t < 19))],0.2610945031
2,P=? [F ((x = 500) & (t < 20))],0.9546296521
2,P=? [F ((x = 500) & (t < 21))],0.9717381618
2,P=? [F ((x = 500) & (t < 22))],0.984227374
2,P=? [F ((x = 500) & (t < 23))],0.9933444988
2,P=? [F ((x = 500) & (t < 24))],1.0
2,P=? [F ((x = 500) & (t < 25))],1.0
2,P=? [F ((x = 500) & (t < 26))],1.0
2,P=? [F ((x = 500) & (t < 27))],1.0
2,P=? [F ((x = 500) & (t < 28))],1.0
3,P=? [F crashed],0.07005394195
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16))],0.0
3,P=? [F ((x = 500) & (t < 17))],0.0
3,P=? [F ((x = 500) & (t < 18))],0.0
3,P=? [F ((x = 500) & (t < 19))],0.4528770155
3,P=? [F ((x = 500) & (t < 20))],0.9959581119
3,P=? [F ((x = 500) & (t < 21))],0.9979012405
3,P=? [F ((x = 500) & (t < 22))],0.9990088237
3,P=? [F ((x = 500) & (t < 23))],0.9996401462
3,P=? [F ((x = 500) & (t < 24))],1.0
3,P=? [F ((x = 500) & (t < 25))],1.0
3,P=? [F ((x = 500) & (t < 26))],1.0
3,P=? [F ((x = 500) & (t < 27))],1.0
3,P=? [F ((x = 500) & (t < 28))],1.0
