d_type,v,v1,x1_0,states,transitions,time
1,34,18,78,106,119,2.479
1,31,31,52,227,251,4.064
2,22,18,64,358,399,5.327
3,28,25,58,334,399,4.694
1,24,24,84,278,316,4.264
3,21,19,68,364,426,5.262
2,24,17,52,215,238,3.623
3,29,29,66,212,237,4.025
2,25,17,44,153,168,3.276
2,31,20,40,85,94,2.559
