type,lane,d,v,delta_crash,P_lC,P_nlC
1,1,4,19,0.21,0.38,0.62
1,1,4,20,0.2,0.38,0.62
1,1,4,21,0.19,0.38,0.62
1,1,4,22,0.18,0.38,0.62
1,1,4,23,0.17,0.38,0.62
1,1,4,24,0.17,0.38,0.62
1,1,4,25,0.16,0.38,0.62
1,1,4,26,0.15,0.38,0.62
1,1,4,27,0.15,0.37,0.63
1,1,4,28,0.14,0.37,0.63
1,1,4,29,0.14,0.37,0.63
1,1,4,30,0.13,0.37,0.63
1,1,4,31,0.13,0.37,0.63
1,1,4,32,0.13,0.37,0.63
1,1,4,33,0.12,0.37,0.63
1,1,4,34,0.12,0.37,0.63
1,1,5,15,0.33,0.39,0.61
1,1,5,16,0.31,0.39,0.61
1,1,5,17,0.29,0.39,0.61
1,1,5,18,0.28,0.39,0.61
1,1,5,19,0.26,0.39,0.61
1,1,5,20,0.25,0.39,0.61
1,1,5,21,0.24,0.39,0.61
1,1,5,22,0.23,0.38,0.62
1,1,5,23,0.22,0.38,0.62
1,1,5,24,0.21,0.38,0.62
1,1,5,25,0.2,0.38,0.62
1,1,5,26,0.19,0.38,0.62
1,1,5,27,0.19,0.38,0.62
1,1,5,28,0.18,0.38,0.62
1,1,5,29,0.17,0.38,0.62
1,1,5,30,0.17,0.38,0.62
1,1,5,31,0.16,0.38,0.62
1,1,5,32,0.16,0.38,0.62
1,1,5,33,0.15,0.38,0.62
1,1,5,34,0.15,0.37,0.63
1,1,6,15,0.4,0.4,0.6
1,1,6,16,0.38,0.4,0.6
1,1,6,17,0.35,0.39,0.61
1,1,6,18,0.33,0.39,0.61
1,1,6,19,0.32,0.39,0.61
1,1,6,20,0.3,0.39,0.61
1,1,6,21,0.29,0.39,0.61
1,1,6,22,0.27,0.39,0.61
1,1,6,23,0.26,0.39,0.61
1,1,6,24,0.25,0.39,0.61
1,1,6,25,0.24,0.39,0.61
1,1,6,26,0.23,0.38,0.62
1,1,6,27,0.22,0.38,0.62
1,1,6,28,0.21,0.38,0.62
1,1,6,29,0.21,0.38,0.62
1,1,6,30,0.2,0.38,0.62
1,1,6,31,0.19,0.38,0.62
1,1,6,32,0.19,0.38,0.62
1,1,6,33,0.18,0.38,0.62
1,1,6,34,0.18,0.38,0.62
1,1,7,15,0.47,0.4,0.6
1,1,7,16,0.44,0.4,0.6
1,1,7,17,0.41,0.4,0.6
1,1,7,18,0.39,0.4,0.6
1,1,7,19,0.37,0.4,0.6
1,1,7,20,0.35,0.39,0.61
1,1,7,21,0.33,0.39,0.61
1,1,7,22,0.32,0.39,0.61
1,1,7,23,0.3,0.39,0.61
1,1,7,24,0.29,0.39,0.61
1,1,7,25,0.28,0.39,0.61
1,1,7,26,0.27,0.39,0.61
1,1,7,27,0.26,0.39,0.61
1,1,7,28,0.25,0.39,0.61
1,1,7,29,0.24,0.39,0.61
1,1,7,30,0.23,0.39,0.61
1,1,7,31,0.23,0.38,0.62
1,1,7,32,0.22,0.38,0.62
1,1,7,33,0.21,0.38,0.62
1,1,7,34,0.21,0.38,0.62
1,1,8,15,0.53,0.4,0.6
1,1,8,16,0.5,0.4,0.6
1,1,8,17,0.47,0.4,0.6
1,1,8,18,0.44,0.4,0.6
1,1,8,19,0.42,0.4,0.6
1,1,8,20,0.4,0.4,0.6
1,1,8,21,0.38,0.4,0.6
1,1,8,22,0.36,0.4,0.6
1,1,8,23,0.35,0.39,0.61
1,1,8,24,0.33,0.39,0.61
1,1,8,25,0.32,0.39,0.61
1,1,8,26,0.31,0.39,0.61
1,1,8,27,0.3,0.39,0.61
1,1,8,28,0.29,0.39,0.61
1,1,8,29,0.28,0.39,0.61
1,1,8,30,0.27,0.39,0.61
1,1,8,31,0.26,0.39,0.61
1,1,8,32,0.25,0.39,0.61
1,1,8,33,0.24,0.39,0.61
1,1,8,34,0.24,0.39,0.61
1,1,9,15,0.6,0.4,0.6
1,1,9,16,0.56,0.4,0.6
1,1,9,17,0.53,0.4,0.6
1,1,9,18,0.5,0.4,0.6
1,1,9,19,0.47,0.4,0.6
1,1,9,20,0.45,0.4,0.6
1,1,9,21,0.43,0.4,0.6
1,1,9,22,0.41,0.4,0.6
1,1,9,23,0.39,0.4,0.6
1,1,9,24,0.38,0.4,0.6
1,1,9,25,0.36,0.4,0.6
